CNT,Date,earnedValue,Owner,WeekOfYear,YearWeek,paidValue
21612,2021-01-04,1466392.0,Apple,1,2021.01,0.0
18263,2021-01-11,191908.0,Apple,2,2021.02,0.0
14525,2021-01-18,191908.0,Apple,3,2021.03,0.0
14067,2021-01-25,41123.0,Apple,4,2021.04,0.0
13609,2021-02-01,150785.0,Apple,5,2021.05,0.0
12839,2021-02-08,191908.0,Apple,6,2021.06,0.0
13228,2021-02-15,191908.0,Apple,7,2021.07,0.0
11560,2021-02-22,302308.0,Apple,8,2021.08,0.0
10852,2021-03-01,242308.0,Apple,9,2021.09,0.0
9971,2021-03-08,191908.0,Apple,10,2021.1,0.0
10799,2021-03-15,259108.0,Apple,11,2021.11,0.0
10443,2021-03-22,187476.0,Apple,12,2021.12,0.0
11704,2021-03-29,0.0,Apple,13,2021.13,0.0
11704,2021-04-01,0.0,Apple,13,2021.13,0.0
13836,2021-04-05,234831.0,Apple,14,2021.14,0.0
8606,2021-04-12,26400.0,Apple,15,2021.15,0.0
9343,2021-04-19,203262.0,Apple,16,2021.16,0.0
9092,2021-04-26,1427326.0,Apple,17,2021.17,0.0
9092,2021-05-01,81230.0,Apple,17,2021.17,0.0
11339,2021-05-03,1465358.0,Apple,18,2021.18,0.0
9090,2021-05-10,335908.0,Apple,19,2021.19,0.0
11042,2021-05-17,309508.0,Apple,20,2021.2,0.0
9717,2021-05-24,275908.0,Apple,21,2021.21,0.0
12122,2021-05-31,27416.0,Apple,22,2021.22,0.0
12122,2021-06-01,164492.0,Apple,22,2021.22,0.0
8896,2021-06-07,1370742.0,Apple,23,2021.23,0.0
16053,2021-06-14,268385.0,Apple,24,2021.24,0.0
13775,2021-06-21,177185.0,Apple,25,2021.25,0.0
20546,2021-06-28,82246.0,Apple,26,2021.26,0.0
20546,2021-07-01,1438755.0,Apple,26,2021.26,0.0
19544,2021-07-05,1583992.0,Apple,27,2021.27,0.0
18174,2021-07-12,377742.0,Apple,28,2021.28,0.0
47869,2021-07-19,1568558.0,Apple,29,2021.29,0.0
31947,2021-07-26,1471542.0,Apple,30,2021.3,0.0
31947,2021-08-01,44216.0,Apple,30,2021.3,0.0
20486,2021-08-02,309508.0,Apple,31,2021.31,0.0
13876,2021-08-09,309508.0,Apple,32,2021.32,0.0
4257,2021-08-16,294785.0,Apple,33,2021.33,0.0
14837,2021-01-04,1021800.0,Google,1,2021.01,17382.84
12132,2021-01-11,1021800.0,Google,2,2021.02,30419.969999999998
9002,2021-01-18,1001400.0,Google,3,2021.03,30822.729999999992
8250,2021-01-25,950400.0,Google,4,2021.04,57509.43999999998
15662,2021-02-01,950400.0,Google,5,2021.05,107001.73252000002
14261,2021-02-08,950400.0,Google,6,2021.06,72044.87336000001
12104,2021-02-15,950400.0,Google,7,2021.07,26923.12000000001
11169,2021-02-22,950400.0,Google,8,2021.08,88753.69476
10189,2021-03-01,950400.0,Google,9,2021.09,105651.08844000002
9935,2021-03-08,950400.0,Google,10,2021.1,58333.30999999999
10251,2021-03-15,960600.0,Google,11,2021.11,134075.19759999998
9410,2021-03-22,950400.0,Google,12,2021.12,131301.54132
11359,2021-03-29,407314.0,Google,13,2021.13,55222.23000000002
11359,2021-04-01,543086.0,Google,13,2021.13,55222.23000000002
16686,2021-04-05,1275415.0,Google,14,2021.14,124679.99136
8496,2021-04-12,950400.0,Google,15,2021.15,48299.97864000001
8888,2021-04-19,950400.0,Google,16,2021.16,148329.22583999997
8288,2021-04-26,678858.0,Google,17,2021.17,166258.86419999995
8288,2021-05-01,271542.0,Google,17,2021.17,166258.86419999995
9137,2021-05-03,950400.0,Google,18,2021.18,217655.56119999994
7968,2021-05-10,950400.0,Google,19,2021.19,2957488.840440001
8070,2021-05-17,950400.0,Google,20,2021.2,77777.77
7987,2021-05-24,950400.0,Google,21,2021.21,0.0
11123,2021-05-31,135772.0,Google,22,2021.22,25333.32
11123,2021-06-01,814628.0,Google,22,2021.22,25333.32
8390,2021-06-07,950400.0,Google,23,2021.23,44333.310000000005
15026,2021-06-14,950400.0,Google,24,2021.24,44333.310000000005
12408,2021-06-21,950400.0,Google,25,2021.25,0.0
23115,2021-06-28,407314.0,Google,26,2021.26,0.0
23115,2021-07-01,543086.0,Google,26,2021.26,0.0
22829,2021-07-05,1102708.0,Google,27,2021.27,0.0
15597,2021-07-12,950400.0,Google,28,2021.28,151744.13688
32019,2021-07-19,950400.0,Google,29,2021.29,160213.74856
24861,2021-07-26,814628.0,Google,30,2021.3,75859.47768000001
24861,2021-08-01,135772.0,Google,30,2021.3,75859.47768000001
16670,2021-08-02,950400.0,Google,31,2021.31,54125.25000000001
12720,2021-08-09,950400.0,Google,32,2021.32,50335.81000000002
4300,2021-08-16,950400.0,Google,33,2021.33,217002.45000000007
9023,2021-05-17,0.0,LG,20,2021.2,23076.9
8425,2021-05-24,0.0,LG,21,2021.21,26923.050000000003
13781,2021-06-14,54450.0,LG,24,2021.24,150000.0
10639,2021-06-21,0.0,LG,25,2021.25,22222.2
16155,2021-06-28,0.0,LG,26,2021.26,44323.649999999994
16155,2021-07-01,54450.0,LG,26,2021.26,44323.649999999994
15755,2021-07-05,0.0,LG,27,2021.27,48399.74999999999
13586,2021-07-12,0.0,LG,28,2021.28,72797.59000000001
32572,2021-07-19,54450.0,LG,29,2021.29,117717.34000000016
23716,2021-07-26,36300.0,LG,30,2021.3,77610.33000000005
23716,2021-08-01,0.0,LG,30,2021.3,77610.33000000005
14594,2021-08-02,0.0,LG,31,2021.31,69918.03
9936,2021-08-09,0.0,LG,32,2021.32,9510.899999999998
3206,2021-08-16,0.0,LG,33,2021.33,9510.899999999998
15780,2021-01-04,61715.0,Microsoft,1,2021.01,33055.53999999999
11699,2021-01-11,0.0,Microsoft,2,2021.02,33055.53999999999
9141,2021-01-18,10286.0,Microsoft,3,2021.03,33055.53999999999
9763,2021-01-25,10286.0,Microsoft,4,2021.04,33055.53999999999
9409,2021-02-01,51428.0,Microsoft,5,2021.05,33055.53999999999
8352,2021-02-08,67393.0,Microsoft,6,2021.06,33055.53999999999
9124,2021-02-15,522000.0,Microsoft,7,2021.07,33055.53999999999
7839,2021-02-22,61714.0,Microsoft,8,2021.08,33055.53999999999
8467,2021-03-01,72000.0,Microsoft,9,2021.09,33055.53999999999
8344,2021-03-08,67393.0,Microsoft,10,2021.1,33055.53999999999
12305,2021-03-15,30857.0,Microsoft,11,2021.11,58055.48000000003
9891,2021-03-22,20571.0,Microsoft,12,2021.12,58055.48000000003
