Date,Device,CNT,Owner
2020-07-15,amazon fire tablet,18,Amazon
2020-07-15,amazon fire tv,7862,Amazon
2020-07-16,amazon fire tablet,4,Amazon
2020-07-16,amazon fire tv,6586,Amazon
2020-07-17,amazon fire tablet,5,Amazon
2020-07-17,amazon fire tv,5519,Amazon
2020-07-18,amazon fire tablet,4,Amazon
2020-07-18,amazon fire tv,5730,Amazon
2020-07-19,amazon fire tablet,2,Amazon
2020-07-19,amazon fire tv,5355,Amazon
2020-07-20,amazon fire tablet,2,Amazon
2020-07-20,amazon fire tv,3497,Amazon
2020-07-21,amazon fire tv,2889,Amazon
2020-07-22,amazon fire tablet,1,Amazon
2020-07-22,amazon fire tv,2479,Amazon
2020-07-23,amazon fire tv,2839,Amazon
2020-07-24,amazon fire tablet,1,Amazon
2020-07-24,amazon fire tv,3048,Amazon
2020-07-25,amazon fire tablet,2,Amazon
2020-07-25,amazon fire tv,3305,Amazon
2020-07-26,amazon fire tablet,2,Amazon
2020-07-26,amazon fire tv,3785,Amazon
2020-07-27,amazon fire tablet,1,Amazon
2020-07-27,amazon fire tv,2576,Amazon
2020-07-28,amazon fire tv,2299,Amazon
2020-07-29,amazon fire tablet,1,Amazon
2020-07-29,amazon fire tv,2512,Amazon
2020-07-30,amazon fire tablet,2,Amazon
2020-07-30,amazon fire tv,3146,Amazon
2020-07-31,amazon fire tablet,3,Amazon
2020-07-31,amazon fire tv,3632,Amazon
2020-08-01,amazon fire tv,4041,Amazon
2020-08-02,amazon fire tv,3990,Amazon
2020-08-03,amazon fire tablet,1,Amazon
2020-08-03,amazon fire tv,2749,Amazon
2020-08-04,amazon fire tablet,1,Amazon
2020-08-04,amazon fire tv,2477,Amazon
2020-08-05,amazon fire tablet,3,Amazon
2020-08-05,amazon fire tv,2200,Amazon
2020-08-06,amazon fire tablet,2,Amazon
2020-08-06,amazon fire tv,2217,Amazon
2020-08-07,amazon fire tablet,2,Amazon
2020-08-07,amazon fire tv,2066,Amazon
2020-08-08,amazon fire tablet,1,Amazon
2020-08-08,amazon fire tv,2695,Amazon
2020-08-09,amazon fire tv,2935,Amazon
2020-08-10,amazon fire tablet,2,Amazon
2020-08-10,amazon fire tv,2034,Amazon
2020-08-11,amazon fire tv,1983,Amazon
2020-08-12,amazon fire tv,1864,Amazon
2020-08-13,amazon fire tablet,1,Amazon
2020-08-13,amazon fire tv,1812,Amazon
2020-08-14,amazon fire tablet,2,Amazon
2020-08-14,amazon fire tv,1732,Amazon
2020-08-15,amazon fire tv,2313,Amazon
2020-08-16,amazon fire tablet,2,Amazon
2020-08-16,amazon fire tv,2615,Amazon
2020-08-17,amazon fire tablet,2,Amazon
2020-08-17,amazon fire tv,1932,Amazon
2020-08-18,amazon fire tablet,1,Amazon
2020-08-18,amazon fire tv,1821,Amazon
2020-08-19,amazon fire tv,1700,Amazon
2020-08-20,amazon fire tv,1551,Amazon
2020-08-21,amazon fire tv,1557,Amazon
2020-08-22,amazon fire tv,2044,Amazon
2020-08-23,amazon fire tablet,1,Amazon
2020-08-23,amazon fire tv,2656,Amazon
2020-08-24,amazon fire tv,3013,Amazon
2020-08-25,amazon fire tablet,2,Amazon
2020-08-25,amazon fire tv,2166,Amazon
2020-08-26,amazon fire tv,1851,Amazon
2020-08-27,amazon fire tablet,1,Amazon
2020-08-27,amazon fire tv,1747,Amazon
2020-08-28,amazon fire tv,2486,Amazon
2020-08-29,amazon fire tablet,1,Amazon
2020-08-29,amazon fire tv,2770,Amazon
2020-08-30,amazon fire tv,2595,Amazon
2020-08-31,amazon fire tablet,1,Amazon
2020-08-31,amazon fire tv,1727,Amazon
2020-09-01,amazon fire tv,1484,Amazon
2020-09-02,amazon fire tablet,1,Amazon
2020-09-02,amazon fire tv,1474,Amazon
2020-09-03,amazon fire tv,1415,Amazon
2020-09-04,amazon fire tablet,1,Amazon
2020-09-04,amazon fire tv,1442,Amazon
2020-09-05,amazon fire tv,2399,Amazon
2020-09-06,amazon fire tablet,1,Amazon
2020-09-06,amazon fire tv,2136,Amazon
2020-09-07,amazon fire tv,2066,Amazon
2020-09-08,amazon fire tv,1562,Amazon
2020-09-09,amazon fire tv,1651,Amazon
2020-09-10,amazon fire tablet,1,Amazon
2020-09-10,amazon fire tv,1867,Amazon
2020-09-11,amazon fire tv,1689,Amazon
2020-09-12,amazon fire tablet,2,Amazon
2020-09-12,amazon fire tv,3049,Amazon
2020-09-13,amazon fire tablet,1,Amazon
2020-09-13,amazon fire tv,4146,Amazon
2020-09-14,amazon fire tablet,1,Amazon
2020-09-14,amazon fire tv,2379,Amazon
2020-09-15,amazon fire tv,1699,Amazon
2020-09-16,amazon fire tv,1601,Amazon
2020-09-17,amazon fire tablet,3,Amazon
2020-09-17,amazon fire tv,5494,Amazon
2020-09-18,amazon fire tv,2573,Amazon
2020-09-19,amazon fire tv,4557,Amazon
2020-09-20,amazon fire tv,3946,Amazon
2020-09-21,amazon fire tablet,2,Amazon
2020-09-21,amazon fire tv,1788,Amazon
2020-09-22,amazon fire tablet,9,Amazon
2020-09-22,amazon fire tv,1708,Amazon
2020-09-23,amazon fire tablet,2,Amazon
2020-09-23,amazon fire tv,1472,Amazon
2020-09-24,amazon fire tablet,1,Amazon
2020-09-24,amazon fire tv,1505,Amazon
2020-09-25,amazon fire tablet,2,Amazon
2020-09-25,amazon fire tv,1376,Amazon
2020-09-26,amazon fire tv,2002,Amazon
2020-09-27,amazon fire tablet,3,Amazon
2020-09-27,amazon fire tv,2364,Amazon
2020-09-28,amazon fire tablet,3,Amazon
2020-09-28,amazon fire tv,1818,Amazon
2020-09-29,amazon fire tablet,2,Amazon
2020-09-29,amazon fire tv,1380,Amazon
2020-09-30,amazon fire tablet,2,Amazon
2020-09-30,amazon fire tv,1287,Amazon
2020-10-01,amazon fire tablet,2,Amazon
2020-10-01,amazon fire tv,1352,Amazon
2020-10-02,amazon fire tv,1198,Amazon
2020-10-03,amazon fire tablet,4,Amazon
2020-10-03,amazon fire tv,2131,Amazon
