Date,Device,CNT
7/15/2020,amazon fire tablet,18
7/15/2020,amazon fire tv,7862
7/15/2020,android mobile,210608
7/15/2020,android tv,8558
7/15/2020,apple tv,54080
7/15/2020,chromecast receiver app,11
7/15/2020,cox,24441
7/15/2020,ios mobile,455105
7/15/2020,lg smart tv,19405
7/15/2020,ps4,1177
7/15/2020,roku,1662
7/15/2020,samsung tv,3275
7/15/2020,unknown,18176
7/15/2020,vizio,35657
7/15/2020,web,249825
7/15/2020,windows phone,1
7/15/2020,xbox one,25150
7/15/2020,xfinity,99281
7/16/2020,amazon fire tablet,4
7/16/2020,amazon fire tv,6586
7/16/2020,android mobile,100978
7/16/2020,android tv,5257
7/16/2020,apple tv,27199
7/16/2020,chromecast receiver app,3
7/16/2020,cox,19516
7/16/2020,ios mobile,180721
7/16/2020,lg smart tv,23124
7/16/2020,ps4,341
7/16/2020,roku,596
7/16/2020,samsung tv,980
7/16/2020,unknown,7732
7/16/2020,vizio,17111
7/16/2020,web,68922
7/16/2020,xbox one,8372
7/16/2020,xfinity,63298
7/17/2020,amazon fire tablet,5
7/17/2020,amazon fire tv,5519
7/17/2020,android mobile,72358
7/17/2020,android tv,3873
7/17/2020,apple tv,24530
7/17/2020,chromecast receiver app,2
7/17/2020,cox,18032
7/17/2020,ios mobile,126003
7/17/2020,lg smart tv,9299
7/17/2020,ps4,232
7/17/2020,roku,344
7/17/2020,samsung tv,831
7/17/2020,unknown,5319
7/17/2020,vizio,12330
7/17/2020,web,48738
7/17/2020,xbox one,5673
7/17/2020,xfinity,61667
7/18/2020,amazon fire tablet,4
7/18/2020,amazon fire tv,5730
7/18/2020,android mobile,64723
7/18/2020,android tv,3765
7/18/2020,apple tv,24085
7/18/2020,chromecast receiver app,1
7/18/2020,cox,19903
7/18/2020,ios mobile,102695
7/18/2020,lg smart tv,8905
7/18/2020,ps4,200
7/18/2020,roku,311
7/18/2020,samsung tv,824
7/18/2020,unknown,4514
7/18/2020,vizio,13203
7/18/2020,web,37589
7/18/2020,windows phone,1
7/18/2020,xbox one,5436
7/18/2020,xfinity,86200
7/19/2020,amazon fire tablet,2
7/19/2020,amazon fire tv,5355
7/19/2020,android mobile,68920
7/19/2020,android tv,3462
7/19/2020,apple tv,20872
7/19/2020,chromecast receiver app,2
7/19/2020,cox,14555
7/19/2020,ios mobile,99581
7/19/2020,lg smart tv,7845
7/19/2020,ps4,212
7/19/2020,roku,280
7/19/2020,samsung tv,747
7/19/2020,unknown,4478
7/19/2020,vizio,13291
7/19/2020,web,35613
7/19/2020,windows phone,1
7/19/2020,xbox one,5314
7/19/2020,xfinity,66253
7/20/2020,amazon fire tablet,2
7/20/2020,amazon fire tv,3497
7/20/2020,android mobile,41450
7/20/2020,android tv,2228
7/20/2020,apple tv,11427
7/20/2020,cox,11998
7/20/2020,ios mobile,57982
7/20/2020,lg smart tv,4552
7/20/2020,ps4,178
7/20/2020,roku,229
7/20/2020,samsung tv,449
7/20/2020,unknown,3120
7/20/2020,vizio,7827
7/20/2020,web,28255
7/20/2020,xbox one,3796
7/20/2020,xfinity,45099
7/21/2020,amazon fire tv,2889
7/21/2020,android mobile,36018
7/21/2020,android tv,2024
7/21/2020,apple tv,9841
7/21/2020,chromecast receiver app,1
7/21/2020,cox,10798
7/21/2020,ios mobile,49161
7/21/2020,lg smart tv,4156
7/21/2020,ps4,559
7/21/2020,roku,173
7/21/2020,samsung tv,363
7/21/2020,unknown,2620
7/21/2020,vizio,7366
7/21/2020,web,24252
7/21/2020,xbox one,3188
7/21/2020,xfinity,39454
7/22/2020,amazon fire tablet,1
7/22/2020,amazon fire tv,2479
7/22/2020,android mobile,32596
7/22/2020,android tv,1821
7/22/2020,apple tv,8970
7/22/2020,chromecast receiver app,1
7/22/2020,cox,8612
7/22/2020,ios mobile,46462
7/22/2020,lg smart tv,3744
7/22/2020,ps4,135
7/22/2020,roku,167
7/22/2020,samsung tv,401
7/22/2020,unknown,2472
7/22/2020,vizio,13804
7/22/2020,web,23637
7/22/2020,xbox one,2877
7/22/2020,xfinity,39074
7/23/2020,amazon fire tv,2839
7/23/2020,android mobile,27925
7/23/2020,android tv,2026
7/23/2020,apple tv,7870
7/23/2020,cox,7351
7/23/2020,ios mobile,40219
7/23/2020,lg smart tv,3251
7/23/2020,ps4,99
7/23/2020,roku,157
7/23/2020,samsung tv,317
7/23/2020,unknown,2433
7/23/2020,vizio,13542
7/23/2020,web,21931
7/23/2020,xbox one,2290
7/23/2020,xfinity,35481
7/24/2020,amazon fire tablet,1
7/24/2020,amazon fire tv,3048
7/24/2020,android mobile,27040
7/24/2020,android tv,2132
7/24/2020,apple tv,7108
7/24/2020,cox,7245
7/24/2020,ios mobile,38820
7/24/2020,lg smart tv,3479
7/24/2020,ps4,105
7/24/2020,roku,126
7/24/2020,samsung tv,342
7/24/2020,unknown,2431
7/24/2020,vizio,12495
7/24/2020,web,21171
7/24/2020,xbox one,2805
7/24/2020,xfinity,36438
7/25/2020,amazon fire tablet,2
7/25/2020,amazon fire tv,3305
7/25/2020,android mobile,30168
7/25/2020,android tv,2619
7/25/2020,apple tv,8793
7/25/2020,cox,8981
7/25/2020,ios mobile,42456
7/25/2020,lg smart tv,6197
7/25/2020,ps4,126
7/25/2020,roku,153
7/25/2020,samsung tv,411
7/25/2020,unknown,2613
7/25/2020,vizio,14704
7/25/2020,web,21291
7/25/2020,xbox one,3640
7/25/2020,xfinity,46660
7/26/2020,amazon fire tablet,2
7/26/2020,amazon fire tv,3785
7/26/2020,android mobile,37374
7/26/2020,android tv,3123
7/26/2020,apple tv,10336
7/26/2020,cox,9538
