Date,Placement,Today Stories (App Store),Hero Banner Takeover​ (App Store),Hero Banner Feature (App Store),Brick Row Takeover​ (App Store),App Recommendation Featuring​ (App Store),What To Watch This Week (App Store) ,App Upsell​ (TV App),App What to Watch Brick Row Takeover​ (TV App),App Editorial featuring in Collections​ (TV App),Apple TV Email / Newsletter,Apple.com Feature,Estimated Weekly Value
2021-01-04,Promotional Value,0 ,0.0,"95,954 ","68,234 ",0.0,"95,954 ",0.0,0.0,0 ,"1,206,250 ",0.0,"1,466,392 "
2021-01-11,Promotional Value,0 ,0.0,"95,954 ",0 ,0.0,"95,954 ",0.0,0.0,0 ,0 ,0.0,"191,908 "
2021-01-18,Promotional Value,0 ,0.0,"95,954 ",0 ,0.0,"95,954 ",0.0,0.0,0 ,0 ,0.0,"191,908 "
2021-01-25,Promotional Value,0 ,0.0,0 ,0 ,0.0,"41,123 ",0.0,0.0,0 ,0 ,0.0,"41,123 "
2021-02-01,Promotional Value,0 ,0.0,"95,954 ",0 ,0.0,"54,831 ",0.0,0.0,0 ,0 ,0.0,"150,785 "
2021-02-08,Promotional Value,0 ,0.0,"95,954 ",0 ,0.0,"95,954 ",0.0,0.0,0 ,0 ,0.0,"191,908 "
2021-02-15,Promotional Value,0 ,0.0,"95,954 ",0 ,0.0,"95,954 ",0.0,0.0,0 ,0 ,0.0,"191,908 "
2021-02-22,Promotional Value,"26,400 ",0.0,"95,954 ",0 ,0.0,"95,954 ",0.0,0.0,"84,000 ",0 ,0.0,"302,308 "
2021-03-01,Promotional Value,0 ,0.0,"95,954 ",0 ,0.0,"95,954 ",0.0,0.0,"50,400 ",0 ,0.0,"242,308 "
2021-03-08,Promotional Value,0 ,0.0,"95,954 ",0 ,0.0,"95,954 ",0.0,0.0,0 ,0 ,0.0,"191,908 "
2021-03-15,Promotional Value,0 ,0.0,"95,954 ",0 ,0.0,"95,954 ",0.0,0.0,"67,200 ",0 ,0.0,"259,108 "
2021-03-22,Promotional Value,0 ,0.0,"68,538 ",0 ,0.0,"68,538 ",0.0,0.0,"50,400 ",0 ,0.0,"187,477 "
2021-03-29,Promotional Value,0 ,0.0,0 ,0 ,0.0,0 ,0.0,0.0,0 ,0 ,0.0,0 
2021-04-01,Promotional Value,0 ,0.0,0 ,0 ,0.0,0 ,0.0,0.0,0 ,0 ,0.0,0 
2021-04-05,Promotional Value,"79,200 ",0.0,"54,831 ",0 ,0.0,0 ,0.0,0.0,"100,800 ",0 ,0.0,"234,831 "
2021-04-12,Promotional Value,"26,400 ",0.0,0 ,0 ,0.0,0 ,0.0,0.0,0 ,0 ,0.0,"26,400 "
