Date,Placement,App Hero Card (Video),Trending TV (Above The Fold),‘Play Movies’ Homepage Placement,‘Featured by Play’ Collection,Play ‘New Arrivals’,Android TV - Immersive Video Row (Google Play Hero Placement),M&E Push Notification ,Google Play Store Subscription Center,Android TV - Home Screen Browser,Android TV Featured by Play collection (Slot #1),Featured Collection on ATV Play Store app (Slot #1) ,Video Row on ATV Play Store App ,Google Email / Newsletter,.com Feature,Estimated Weekly Value
2021-01-04,Promotional Value,"475,200 ","475,200 ",0.0,0.0,0.0,0.0,0 ,0.0,"71,400 ",0.0,0.0,0.0,0.0,0.0,"1,021,800 "
2021-01-11,Promotional Value,"475,200 ","475,200 ",0.0,0.0,0.0,0.0,0 ,0.0,"71,400 ",0.0,0.0,0.0,0.0,0.0,"1,021,800 "
2021-01-18,Promotional Value,"475,200 ","475,200 ",0.0,0.0,0.0,0.0,0 ,0.0,"51,000 ",0.0,0.0,0.0,0.0,0.0,"1,001,400 "
2021-01-25,Promotional Value,"475,200 ","475,200 ",0.0,0.0,0.0,0.0,0 ,0.0,0 ,0.0,0.0,0.0,0.0,0.0,"950,400 "
2021-02-01,Promotional Value,"475,200 ","475,200 ",0.0,0.0,0.0,0.0,0 ,0.0,0 ,0.0,0.0,0.0,0.0,0.0,"950,400 "
2021-02-08,Promotional Value,"475,200 ","475,200 ",0.0,0.0,0.0,0.0,0 ,0.0,0 ,0.0,0.0,0.0,0.0,0.0,"950,400 "
2021-02-15,Promotional Value,"475,200 ","475,200 ",0.0,0.0,0.0,0.0,0 ,0.0,0 ,0.0,0.0,0.0,0.0,0.0,"950,400 "
2021-02-22,Promotional Value,"475,200 ","475,200 ",0.0,0.0,0.0,0.0,0 ,0.0,0 ,0.0,0.0,0.0,0.0,0.0,"950,400 "
2021-03-01,Promotional Value,"475,200 ","475,200 ",0.0,0.0,0.0,0.0,0 ,0.0,0 ,0.0,0.0,0.0,0.0,0.0,"950,400 "
2021-03-08,Promotional Value,"475,200 ","475,200 ",0.0,0.0,0.0,0.0,0 ,0.0,0 ,0.0,0.0,0.0,0.0,0.0,"950,400 "
