Date,Placement,Wedge Banner Placement,Content Store Banner,Push Notification,Email Newsletter Feature,LG.com Feature,Partner.com Feature,Estimated Weekly Value
2021-01-04,Promotional Value,0 ,"127,050 ",0 ,0 ,0 ,0 ,"127,050 "
2021-01-11,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-01-18,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-01-25,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-02-01,Promotional Value,0 ,"90,750 ",0 ,0 ,0 ,0 ,"90,750 "
2021-02-08,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-02-15,Promotional Value,0 ,"127,050 ",0 ,0 ,0 ,0 ,"127,050 "
2021-02-22,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,"5,510 "
2021-03-01,Promotional Value,0 ,"72,600 ",0 ,0 ,0 ,0 ,"72,600 "
2021-03-08,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,"4,309 "
2021-03-15,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,"8,618 "
2021-03-22,Promotional Value,0 ,"18,150 ",0 ,0 ,0 ,0 ,"21,257 "
2021-03-29,Promotional Value,0 ,"54,450 ",0 ,0 ,0 ,0 ,"54,450 "
2021-04-01,Promotional Value,0 ,"72,600 ",0 ,0 ,0 ,0 ,"72,600 "
2021-04-05,Promotional Value,0 ,"36,300 ",0 ,0 ,0 ,0 ,"36,300 "
2021-04-12,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-04-19,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,"4,309 "
2021-04-26,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-05-01,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-05-03,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,"3,107 "
2021-05-10,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,"4,309 "
2021-05-17,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-05-24,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-05-31,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-06-01,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-06-07,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,"3,107 "
2021-06-14,Promotional Value,0 ,"54,450 ",0 ,0 ,0 ,0 ,"57,557 "
2021-06-21,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-06-28,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-07-01,Promotional Value,0 ,"54,450 ",0 ,0 ,0 ,0 ,"57,557 "
2021-07-05,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-07-12,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-07-19,Promotional Value,0 ,"54,450 ",0 ,0 ,0 ,0 ,"63,068 "
2021-07-26,Promotional Value,0 ,"36,300 ",0 ,0 ,0 ,0 ,"39,407 "
2021-08-01,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-08-02,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,"5,510 "
2021-08-09,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-08-16,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,"3,107 "
2021-08-23,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-08-30,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-09-01,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-09-06,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-09-11,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,"3,107 "
