Date,Placement,Today Stories (App Store),Hero Banner Takeover​ (App Store),Hero Banner Feature (App Store),Brick Row Takeover​ (App Store),App Recommendation Featuring​ (App Store),What To Watch This Week (App Store) ,App Upsell​ (TV App),App What to Watch Brick Row Takeover​ (TV App),App Editorial featuring in Collections​ (TV App),Apple TV Social Post (Facebook),Apple TV Social Post (Instagram),Apple TV Social Post (Twitter),Apple TV Email / Newsletter,Apple.com Feature,Estimated Weekly Value
4-Jan,Promotional Value,0 ,0 ,"95,954 ","68,234 ",0 ,"95,954 ",0 ,0 ,0 ,0 ,0 ,0 ,"1,206,250 ",0 ,"1,466,392 "
,Contractual Days,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"95,954 ","68,234 ",0 ,"95,954 ",0 ,0 ,0 ,0 ,0 ,0 ,"1,206,250 ",0 ,"1,466,392 "
,Promotional Days,,,7,,,7,,,,,,,,,--
11-Jan,Promotional Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"191,908 "
,Contractual Days,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"191,908 "
,Promotional Days,,,7,,,7,,,,,,,,,--
18-Jan,Promotional Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"191,908 "
,Contractual Days,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"191,908 "
,Promotional Days,,,,,,3,,,,,,,,,--
25-Jan,Promotional Value,0 ,0 ,0 ,0 ,0 ,"41,123 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"41,123 "
,Contractual Days,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,"41,123 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"41,123 "
,Promotional Days,,,7,,,4,,,,,,,,,--
1-Feb,Promotional Value,0 ,0 ,"95,954 ",0 ,0 ,"54,831 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"150,785 "
,Contractual Days,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"95,954 ",0 ,0 ,"54,831 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"150,785 "
,Promotional Days,,,7,,,7,,,,,,,,,--
8-Feb,Promotional Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"191,908 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
