Date,Placement,App Hero Card (Video),Trending TV (Above The Fold),‘Play Movies’ Homepage Placement,‘Featured by Play’ Collection,Play ‘New Arrivals’,Android TV - Immersive Video Row (Google Play Hero Placement),M&E Push Notification ,Google Play Store Subscription Center,Android TV - Home Screen Browser,Android TV Featured by Play collection (Slot #1),Featured Collection on ATV Play Store app (Slot #1) ,Video Row on ATV Play Store App ,Google Social Post (Facebook),Google Social Post (Instagram),Google Social Post (Twitter),Google Email / Newsletter,.com Feature,Estimated Weekly Value
4-Jan,Promotional Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,"71,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,021,800 "
,Contractual Days,,,,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,"71,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,021,800 "
,Promotional Days,7,7,,,,,,,7,,,,,,,,,--
11-Jan,Promotional Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,"71,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,021,800 "
,Contractual Days,,,,,,,,,,,,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,"71,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,021,800 "
,Promotional Days,7,7,,,,,,,5,,,,,,,,,--
18-Jan,Promotional Value,"475,200 ","475,200 ",0 ,0 ,0 ,0 ,0 ,0 ,"51,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,001,400 "
