Date,Placement,Main Home,Store Home,Apps Store,Entertainment Twist,Collections,Email Newsletter Feature,Xbox.com,Estimated Weekly Value
2021-01-04,Promotional Value,0 ,0 ,"51,429 ","10,286 ",0 ,0 ,0 ,"61,714 "
2021-01-11,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-01-18,Promotional Value,0 ,0 ,0 ,0 ,"10,286 ",0 ,0 ,"10,286 "
2021-01-25,Promotional Value,0 ,0 ,0 ,0 ,"10,286 ",0 ,0 ,"10,286 "
2021-02-01,Promotional Value,0 ,0 ,"20,571 ","30,857 ",0 ,0 ,0 ,"51,429 "
2021-02-08,Promotional Value,0 ,0 ,"41,143 ",0 ,0 ,0 ,"26,250 ","67,393 "
2021-02-15,Promotional Value,0 ,0 ,"41,143 ",0 ,"30,857 ","450,000 ",0 ,"522,000 "
2021-02-22,Promotional Value,0 ,0 ,"61,714 ",0 ,0 ,0 ,0 ,"61,714 "
2021-03-01,Promotional Value,0 ,0 ,"41,143 ","30,857 ",0 ,0 ,0 ,"72,000 "
2021-03-08,Promotional Value,0 ,0 ,0 ,"41,143 ",0 ,0 ,"26,250 ","67,393 "
2021-03-15,Promotional Value,0 ,0 ,"30,857 ",0 ,0 ,0 ,0 ,"30,857 "
2021-03-22,Promotional Value,0 ,0 ,"20,571 ",0 ,0 ,0 ,0 ,"20,571 "
2021-03-29,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"76,300 "
2021-04-01,Promotional Value,0 ,0 ,0 ,0 ,0 ,"450,000 ",0 ,"450,000 "
2021-04-05,Promotional Value,0 ,0 ,"10,286 ",0 ,0 ,0 ,"26,250 ","86,236 "
2021-04-12,Promotional Value,0 ,0 ,0 ,"30,857 ",0 ,0 ,0 ,"30,857 "
2021-04-19,Promotional Value,0 ,0 ,"30,857 ",0 ,"30,857 ",0 ,0 ,"61,714 "
2021-04-26,Promotional Value,0 ,0 ,0 ,0 ,"10,286 ","450,000 ",0 ,"460,286 "
2021-05-01,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-05-03,Promotional Value,0 ,0 ,"30,857 ",0 ,0 ,0 ,0 ,"30,857 "
2021-05-10,Promotional Value,0 ,0 ,"20,571 ","10,286 ",0 ,0 ,0 ,"30,857 "
2021-05-17,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-05-24,Promotional Value,0 ,0 ,0 ,0 ,"30,857 ",0 ,0 ,"30,857 "
2021-05-31,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-06-01,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-06-07,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-06-14,Promotional Value,0 ,0 ,"10,286 ",0 ,0 ,0 ,0 ,"10,286 "
2021-06-21,Promotional Value,0 ,0 ,"10,286 ",0 ,0 ,0 ,0 ,"10,286 "
2021-06-28,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-07-01,Promotional Value,0 ,0 ,"30,857 ",0 ,"30,857 ",0 ,0 ,"61,714 "
2021-07-05,Promotional Value,0 ,0 ,"10,286 ",0 ,"10,286 ",0 ,0 ,"20,571 "
2021-07-12,Promotional Value,0 ,0 ,"30,857 ","30,857 ","30,857 ","450,000 ",0 ,"542,571 "
2021-07-19,Promotional Value,0 ,0 ,"41,143 ",0 ,"20,571 ",0 ,0 ,"61,714 "
2021-07-26,Promotional Value,0 ,0 ,"30,857 ",0 ,"51,429 ",0 ,0 ,"82,286 "
2021-08-01,Promotional Value,0 ,0 ,"10,286 ",0 ,"20,571 ",0 ,0 ,"30,857 "
2021-08-02,Promotional Value,0 ,0 ,"72,000 ",0 ,0 ,0 ,0 ,"72,000 "
2021-08-09,Promotional Value,0 ,0 ,"30,857 ",0 ,"30,857 ",0 ,0 ,"61,714 "
2021-08-16,Promotional Value,0 ,0 ,"20,571 ",0 ,"30,857 ",0 ,0 ,"51,429 "
2021-08-23,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"164,730 "
2021-08-30,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-09-06,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-09-13,Promotional Value,0 ,0 ,"30,857 ",0 ,"61,714 ",0 ,0 ,"92,571 "
