Date,Placement,"Editorial Placements (e.g. Featured Free, Streaming Channels, Channel Store - Featured, New & Notable; Recommended, etc.)",Roku Email / Newsletter,.com Feature,Estimated Weekly Value
2021-01-04,Promotional Value,0 ,0 ,116.0,"4,506 "
2021-01-11,Promotional Value,0 ,"62,500 ",0.0,"62,500 "
2021-01-18,Promotional Value,0 ,0 ,0.0,0 
2021-01-25,Promotional Value,0 ,0 ,0.0,0 
2021-02-01,Promotional Value,0 ,"62,500 ",231.0,"65,988 "
2021-02-08,Promotional Value,0 ,0 ,579.0,"1,146 "
2021-02-15,Promotional Value,0 ,0 ,0.0,0 
2021-02-22,Promotional Value,0 ,0 ,0.0,0 
2021-03-01,Promotional Value,0 ,0 ,0.0,0 
2021-03-08,Promotional Value,0 ,0 ,0.0,0 
2021-03-15,Promotional Value,0 ,0 ,0.0,"4,119 "
2021-03-22,Promotional Value,0 ,0 ,0.0,0 
2021-03-29,Promotional Value,0 ,0 ,0.0,0 
2021-04-01,Promotional Value,0 ,0 ,0.0,0 
2021-04-05,Promotional Value,"416,000 ",0 ,694.0,"423,207 "
2021-04-12,Promotional Value,0 ,0 ,0.0,0 
2021-04-19,Promotional Value,0 ,0 ,0.0,0 
2021-04-26,Promotional Value,0 ,0 ,0.0,"2,690 "
2021-05-01,Promotional Value,0 ,0 ,0.0,0 
2021-05-03,Promotional Value,0 ,"62,500 ",0.0,"66,052 "
2021-05-10,Promotional Value,"624,000 ",0 ,347.0,"625,210 "
2021-05-17,Promotional Value,"728,000 ",0 ,810.0,"729,377 "
2021-05-24,Promotional Value,"728,000 ","62,500 ",810.0,"791,310 "
2021-05-31,Promotional Value,"104,000 ",0 ,116.0,"104,116 "
2021-06-01,Promotional Value,"624,000 ",0 ,694.0,"624,694 "
2021-06-07,Promotional Value,"728,000 ",0 ,810.0,"728,810 "
2021-06-14,Promotional Value,"728,000 ",0 ,810.0,"728,810 "
2021-06-21,Promotional Value,"728,000 ",0 ,810.0,"728,810 "
2021-06-28,Promotional Value,"312,000 ",0 ,347.0,"315,037 "
2021-07-01,Promotional Value,"312,000 ","62,500 ",463.0,"382,067 "
2021-07-05,Promotional Value,0 ,0 ,810.0,810 
2021-07-12,Promotional Value,0 ,0 ,810.0,810 
2021-07-19,Promotional Value,"624,000 ",0 ,810.0,"624,810 "
2021-07-26,Promotional Value,"624,000 ",0 ,694.0,"624,694 "
2021-08-01,Promotional Value,"104,000 ",0 ,116.0,"104,116 "
2021-08-02,Promotional Value,"728,000 ",0 ,810.0,"728,810 "
2021-08-09,Promotional Value,0 ,0 ,810.0,810 
2021-08-16,Promotional Value,"104,000 ",0 ,810.0,"105,377 "
2021-08-23,Promotional Value,0 ,0 ,810.0,810 
2021-08-30,Promotional Value,0 ,0 ,231.0,231 
2021-09-01,Promotional Value,0 ,0 ,579.0,579 
2021-09-06,Promotional Value,0 ,0 ,810.0,810 
2021-09-13,Promotional Value,0 ,0 ,810.0,810 
