Date,Placement,"Editorial Placements (e.g. Featured Free, Streaming Channels, Channel Store - Featured, New & Notable; Recommended, etc.)",Roku Social Post (Facebook),Roku Social Post (Instagram),Roku Social Post (Twitter),Roku Email / Newsletter,.com Feature,Estimated Weekly Value
4-Jan,Promotional Value,0 ,"2,690 ",0 ,"1,701 ",0 ,116 ,"4,506 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"2,690 ",0 ,"1,701 ",0 ,116 ,"4,506 "
,Promotional Days,,,,,1,,--
11-Jan,Promotional Value,0 ,0 ,0 ,0 ,"62,500 ",0 ,"62,500 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,"62,500 ",0 ,"62,500 "
,Promotional Days,,,,,,,--
18-Jan,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,,,,,,--
25-Jan,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,1,,1,1,2,--
1-Feb,Promotional Value,0 ,"2,690 ",0 ,567 ,"62,500 ",231 ,"65,988 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"2,690 ",0 ,567 ,"62,500 ",231 ,"65,988 "
,Promotional Days,,,,1,,5,--
8-Feb,Promotional Value,0 ,0 ,0 ,567 ,0 ,579 ,"1,146 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,567 ,0 ,579 ,"1,146 "
,Promotional Days,,,,,,,--
15-Feb,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,,,,,,--
22-Feb,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,,,,,,--
1-Mar,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,,,,,,--
8-Mar,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,1,1,2,,,--
15-Mar,Promotional Value,0 ,"2,690 ",296 ,"1,134 ",0 ,0 ,"4,119 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"2,690 ",296 ,"1,134 ",0 ,0 ,"4,119 "
,Promotional Days,,,,,,,--
22-Mar,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,,,,,,--
29-Mar,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,,,,,,--
1-Apr,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,4,2,,2,,6,--
5-Apr,Promotional Value,"416,000 ","5,379 ",0 ,"1,134 ",0 ,694 ,"423,207 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"416,000 ","5,379 ",0 ,"1,134 ",0 ,694 ,"423,207 "
,Promotional Days,,,,,,,--
12-Apr,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,,,,,,--
19-Apr,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,,1,,,,,--
26-Apr,Promotional Value,0 ,"2,690 ",0 ,0 ,0 ,0 ,"2,690 "
,Contractual Days,,,,,,,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"2,690 ",0 ,0 ,0 ,0 ,"2,690 "
,Promotional Days,,,,,,,--
1-May,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,,,,,,,--
