Date,Placement,Featured Apps Row (Position 11-15),Hero Placement (Home),Hero Placement (Other),Discover Placement (Home),Discover Placement (Other),Dedicated On-Device Feature Card,Email Newsletter Feature,VIZIO.com Feature,Partner.com Feature,Estimated Weekly Value
2021-01-04,Promotional Value,0 ,"132,000 ","19,800 ",0 ,0 ,0 ,0 ,0 ,0 ,"151,800 "
2021-01-11,Promotional Value,0 ,"198,000 ","118,800 ",0 ,0 ,0 ,0 ,0 ,0 ,"316,800 "
2021-01-18,Promotional Value,0 ,0 ,"79,200 ",0 ,0 ,0 ,"75,000 ",0 ,0 ,"154,200 "
2021-01-25,Promotional Value,0 ,0 ,0 ,"21,429 ",0 ,0 ,0 ,0 ,0 ,"21,429 "
2021-02-01,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,232 "
2021-02-08,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-02-15,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,475 ",0 ,"2,475 "
2021-02-22,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,950 ",0 ,"6,182 "
2021-03-01,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-03-08,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-03-15,Promotional Value,0 ,0 ,"59,400 ",0 ,0 ,0 ,"75,000 ",0 ,0 ,"134,490 "
2021-03-22,Promotional Value,0 ,0 ,"79,200 ",0 ,0 ,0 ,0 ,0 ,0 ,"79,200 "
2021-03-29,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-04-01,Promotional Value,0 ,"66,000 ",0 ,"32,143 ",0 ,0 ,0 ,0 ,0 ,"98,233 "
2021-04-05,Promotional Value,0 ,"66,000 ",0 ,"75,000 ",0 ,0 ,"75,000 ",0 ,0 ,"216,090 "
2021-04-12,Promotional Value,0 ,"132,000 ",0 ,"42,857 ",0 ,0 ,0 ,0 ,0 ,"174,857 "
2021-04-19,Promotional Value,0 ,"132,000 ",0 ,"21,429 ",0 ,0 ,0 ,0 ,0 ,"153,429 "
2021-04-26,Promotional Value,0 ,0 ,0 ,"10,714 ",0 ,0 ,0 ,0 ,0 ,"10,714 "
2021-05-01,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-05-03,Promotional Value,0 ,0 ,"118,800 ","42,857 ",0 ,0 ,"75,000 ",0 ,0 ,"236,657 "
2021-05-10,Promotional Value,0 ,0 ,"138,600 ",0 ,0 ,0 ,0 ,0 ,0 ,"139,832 "
2021-05-17,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-05-24,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-05-31,Promotional Value,0 ,0 ,0 ,"10,714 ",0 ,0 ,0 ,0 ,0 ,"10,714 "
2021-06-01,Promotional Value,0 ,0 ,"39,600 ","42,857 ",0 ,0 ,0 ,0 ,0 ,"82,457 "
2021-06-07,Promotional Value,0 ,0 ,"79,200 ","42,857 ",0 ,0 ,"75,000 ",0 ,0 ,"198,289 "
2021-06-14,Promotional Value,0 ,0 ,0 ,"75,000 ",0 ,0 ,"75,000 ",0 ,0 ,"151,232 "
2021-06-21,Promotional Value,0 ,0 ,"59,400 ","53,571 ",0 ,0 ,0 ,0 ,0 ,"112,971 "
2021-06-28,Promotional Value,0 ,0 ,"59,400 ","32,143 ",0 ,0 ,0 ,0 ,0 ,"91,543 "
2021-07-01,Promotional Value,0 ,0 ,"19,800 ","42,857 ",0 ,0 ,"75,000 ",825 ,0 ,"139,714 "
2021-07-05,Promotional Value,0 ,0 ,"59,400 ","21,429 ",0 ,0 ,0 ,"5,775 ",0 ,"86,604 "
2021-07-12,Promotional Value,0 ,0 ,"118,800 ",0 ,0 ,0 ,0 ,"5,775 ",0 ,"124,575 "
2021-07-19,Promotional Value,0 ,0 ,"118,800 ","32,143 ",0 ,0 ,0 ,0 ,0 ,"150,943 "
2021-07-26,Promotional Value,0 ,0 ,"118,800 ","64,286 ",0 ,0 ,0 ,0 ,0 ,"184,317 "
2021-08-01,Promotional Value,0 ,0 ,0 ,"10,714 ",0 ,0 ,0 ,0 ,0 ,"10,714 "
2021-08-02,Promotional Value,0 ,0 ,"138,600 ","75,000 ",0 ,0 ,0 ,"5,775 ",0 ,"219,375 "
2021-08-09,Promotional Value,0 ,0 ,"118,800 ","21,429 ",0 ,0 ,0 ,0 ,0 ,"140,229 "
2021-08-16,Promotional Value,0 ,0 ,"59,400 ","21,429 ",0 ,0 ,"75,000 ",0 ,0 ,"155,829 "
2021-08-23,Promotional Value,0 ,0 ,"19,800 ",0 ,0 ,0 ,0 ,0 ,0 ,"19,800 "
2021-08-30,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2021-09-01,Promotional Value,0 ,0 ,0 ,"21,429 ",0 ,0 ,0 ,0 ,0 ,"21,429 "
2021-09-06,Promotional Value,0 ,0 ,"39,600 ","21,429 ",0 ,0 ,"75,000 ",0 ,0 ,"136,029 "
2021-09-13,Promotional Value,0 ,0 ,"138,600 ","21,429 ",0 ,0 ,"75,000 ",0 ,0 ,"236,260 "
