Date,Placement,Featured Apps Row (Position 11-15),Hero Placement (Home),Hero Placement (Other),Discover Placement (Home),Discover Placement (Other),Dedicated On-Device Feature Card,Social Post (Twitter),Social Post (Facebook),Social Post (Instagram),Email Newsletter Feature,VIZIO.com Feature,Partner.com Feature,Estimated Weekly Value
4-Jan,Promotional Value,0 ,"132,000 ","19,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"151,800 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"132,000 ","19,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"151,800 "
,Promotional Days,--,3,6,--,--,--,--,--,--,--,--,--,--
11-Jan,Promotional Value,0 ,"198,000 ","118,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"316,800 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"198,000 ","118,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"316,800 "
,Promotional Days,--,--,4,--,--,--,--,--,--,1,--,--,--
18-Jan,Promotional Value,0 ,0 ,"79,200 ",0 ,0 ,0 ,0 ,0 ,0 ,"75,000 ",0 ,0 ,"154,200 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"79,200 ",0 ,0 ,0 ,0 ,0 ,0 ,"75,000 ",0 ,0 ,"154,200 "
,Promotional Days,--,--,--,2,--,--,--,--,--,--,--,--,--
25-Jan,Promotional Value,0 ,0 ,0 ,"21,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"21,429 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,"21,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"21,429 "
,Promotional Days,--,--,--,--,--,--,1,1,1,--,--,--,--
1-Feb,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,135 ,"1,007 ",90 ,0 ,0 ,0 ,"1,232 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,135 ,"1,007 ",90 ,0 ,0 ,0 ,"1,232 "
,Promotional Days,--,--,--,--,--,--,--,--,--,--,--,--,--
8-Feb,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,--,--,--,--,--,--,--,--,3,--,--
15-Feb,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,475 ",0 ,"2,475 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,475 ",0 ,"2,475 "
,Promotional Days,--,--,--,--,--,--,1,1,1,--,6,--,--
22-Feb,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,135 ,"1,007 ",90 ,0 ,"4,950 ",0 ,"6,182 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,135 ,"1,007 ",90 ,0 ,"4,950 ",0 ,"6,182 "
,Promotional Days,--,--,--,--,--,--,,,,,,--,--
1-Mar,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,--,--,--,--,,,,,,--,--
8-Mar,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,3,--,--,--,,,1,1,,--,--
15-Mar,Promotional Value,0 ,0 ,"59,400 ",0 ,0 ,0 ,0 ,0 ,90 ,"75,000 ",0 ,0 ,"134,490 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"59,400 ",0 ,0 ,0 ,0 ,0 ,90 ,"75,000 ",0 ,0 ,"134,490 "
,Promotional Days,--,--,4,--,--,--,,,,,,--,--
22-Mar,Promotional Value,0 ,0 ,"79,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"79,200 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"79,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"79,200 "
,Promotional Days,--,,,--,--,--,,,,,,--,--
29-Mar,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,1,,3,--,--,,,1,,,--,--
1-Apr,Promotional Value,0 ,"66,000 ",0 ,"32,143 ",0 ,0 ,0 ,0 ,90 ,0 ,0 ,0 ,"98,233 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"66,000 ",0 ,"32,143 ",0 ,0 ,0 ,0 ,90 ,0 ,0 ,0 ,"98,233 "
,Promotional Days,--,1,,7,,,,,1,1,,--,--
5-Apr,Promotional Value,0 ,"66,000 ",0 ,"75,000 ",0 ,0 ,0 ,0 ,90 ,"75,000 ",0 ,0 ,"216,090 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"66,000 ",0 ,"75,000 ",0 ,0 ,0 ,0 ,90 ,"75,000 ",0 ,0 ,"216,090 "
,Promotional Days,--,2,,4,,,,,,,,--,--
12-Apr,Promotional Value,0 ,"132,000 ",0 ,"42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"174,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"132,000 ",0 ,"42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"174,857 "
,Promotional Days,--,2,,2,,,,,,,,--,--
19-Apr,Promotional Value,0 ,"132,000 ",0 ,"21,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"153,429 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"132,000 ",0 ,"21,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"153,429 "
,Promotional Days,--,,,1,,,,,,,,--,--
26-Apr,Promotional Value,0 ,0 ,0 ,"10,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,714 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,"10,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,714 "
,Promotional Days,--,,,,,,,,,,,--,--
1-May,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--,--,--
