Date,Placement,Main Home,Store Home,Apps Store,Entertainment Twist,Collections,Social Post (Twitter), Social Post (Facebook),Social Post (Instagram),Email Newsletter Feature,Xbox.com,Estimated Weekly Value
4-Jan,Promotional Value,0 ,0 ,"51,429 ","10,286 ",0 ,0 ,0 ,0 ,0 ,0 ,"61,714 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"51,429 ","10,286 ",0 ,0 ,0 ,0 ,0 ,0 ,"61,714 "
,Promotional Days,--,--,--,--,--,--,--,--,--,--,--
11-Jan,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,--,--,1,--,--,--,--,--,--
18-Jan,Promotional Value,0 ,0 ,0 ,0 ,"10,286 ",0 ,0 ,0 ,0 ,0 ,"10,286 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,"10,286 ",0 ,0 ,0 ,0 ,0 ,"10,286 "
,Promotional Days,--,--,--,--,1,--,--,--,--,--,--
25-Jan,Promotional Value,0 ,0 ,0 ,0 ,"10,286 ",0 ,0 ,0 ,0 ,0 ,"10,286 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,"10,286 ",0 ,0 ,0 ,0 ,0 ,"10,286 "
,Promotional Days,--,--,2,3,--,--,--,--,--,--,--
1-Feb,Promotional Value,0 ,0 ,"20,571 ","30,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"51,429 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"20,571 ","30,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"51,429 "
,Promotional Days,--,--,4,--,--,--,--,--,--,1,--
8-Feb,Promotional Value,0 ,0 ,"41,143 ",0 ,0 ,0 ,0 ,0 ,0 ,"26,250 ","67,393 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
