Date,Device,Vehicle,Spend
2020-08-31,Roku,Roku Targeted Native Display,3571.43
2020-09-01,Roku,Roku Targeted Native Display,3571.43
2020-09-02,Roku,Roku Targeted Native Display,3571.43
2020-09-03,Roku,Roku Targeted Native Display,3571.43
2020-09-04,Roku,Roku Targeted Native Display,3571.43
2020-09-05,Roku,Roku Targeted Native Display,3571.43
2020-09-06,Roku,Roku Targeted Native Display,3571.43
2020-09-07,Roku,Roku Targeted Native Display,3571.43
2020-09-08,Roku,Roku Targeted Native Display,3571.43
2020-09-09,Roku,Roku Targeted Native Display,3571.43
2020-09-10,Roku,Roku Targeted Native Display,3571.43
2020-09-11,Roku,Roku Targeted Native Display,3571.43
2020-09-12,Roku,Roku Targeted Native Display,3571.43
2020-09-13,Roku,Roku Targeted Native Display,3571.43
2020-09-14,Roku,Roku Targeted Native Display,3571.43
2020-09-15,Roku,Roku Targeted Native Display,3571.43
2020-09-16,Roku,Roku Targeted Native Display,3571.43
2020-09-17,Roku,Roku Targeted Native Display,3571.43
2020-09-18,Roku,Roku Targeted Native Display,3571.43
2020-09-19,Roku,Roku Targeted Native Display,3571.43
2020-09-20,Roku,Roku Targeted Native Display,3571.43
2020-09-21,Roku,Roku Targeted Native Display,3571.43
2020-09-22,Roku,Roku Targeted Native Display,3571.43
2020-09-23,Roku,Roku Targeted Native Display,3571.43
2020-09-24,Roku,Roku Targeted Native Display,3571.43
2020-09-25,Roku,Roku Targeted Native Display,3571.43
2020-09-26,Roku,Roku Targeted Native Display,3571.43
2020-09-27,Roku,Roku Targeted Native Display,3571.43
2021-05-31,Roku,Roku Native Display,2214.29
2021-06-01,Roku,Roku Native Display,2214.29
2021-06-02,Roku,Roku Native Display,2214.29
2021-06-03,Roku,Roku Native Display,2214.29
2021-06-04,Roku,Roku Native Display,2214.29
2021-06-05,Roku,Roku Native Display,2214.29
2021-06-06,Roku,Roku Native Display,2214.29
2021-06-07,Roku,Roku Native Display,2214.29
2021-06-08,Roku,Roku Native Display,2214.29
2021-06-09,Roku,Roku Native Display,2214.29
2021-06-10,Roku,Roku Native Display,2214.29
2021-06-11,Roku,Roku Native Display,2214.29
2021-06-12,Roku,Roku Native Display,2214.29
2021-06-13,Roku,Roku Native Display,2214.29
2021-06-14,Roku,Roku Native Display,2214.29
2021-06-15,Roku,Roku Native Display,2214.29
2021-06-16,Roku,Roku Native Display,2214.29
2021-06-17,Roku,Roku Native Display,2214.29
2021-06-18,Roku,Roku Native Display,2214.29
2021-06-19,Roku,Roku Native Display,2214.29
2021-06-20,Roku,Roku Native Display,2214.29
2021-06-21,Roku,Roku Native Display,2214.29
2021-06-22,Roku,Roku Native Display,2214.29
2021-06-23,Roku,Roku Native Display,2214.29
2021-06-24,Roku,Roku Native Display,2214.29
2021-06-25,Roku,Roku Native Display,2214.29
2021-06-26,Roku,Roku Native Display,2214.29
2021-06-27,Roku,Roku Native Display,2214.29
2021-05-31,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-01,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-02,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-03,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-04,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-05,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-06,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-07,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-08,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-09,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-10,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-11,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-12,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-13,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-14,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-15,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-16,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-17,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-18,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-19,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-20,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-21,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-22,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-23,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-24,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-25,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-26,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-06-27,Roku,Roku Reality Viewers Targeted Roadblock,3721.43
2021-05-31,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-01,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-02,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-03,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-04,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-05,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-06,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-07,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-08,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-09,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-10,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-11,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-12,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-13,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-14,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-15,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-16,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-17,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-18,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-19,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-20,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-21,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-22,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-23,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-24,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-25,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-26,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-06-27,Samsung,Samsung 1st Screen Rotational Targeted,3425.0
2021-05-31,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-01,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-02,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-03,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-04,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-05,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-06,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-07,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-08,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-09,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-10,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-11,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-12,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-13,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-14,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-15,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-16,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-17,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-18,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-19,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-20,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-21,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-22,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-23,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-24,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-25,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-26,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
