Date,Device,Vehicle,Spend,WeekOfYear
2021-06-28,Amazon Fire,Fire TV 100% SOV In Line Banner,21035.71,26
2021-06-28,Amazon Fire,"Amazon Fire TV 7/24 Screensaver Slot 1, 2 and 3",4642.86,26
2021-06-28,Amazon Fire,Amazon Fire TV In Line (7/18) Weekend 50% Takeover,10535.71,26
2021-06-28,Amazon Fire,Fire TV 50% SOV In Line Banner,10535.71,26
2021-06-28,Amazon Fire,Fire TV 25% SOV Featured Rotator,7542.86,26
2021-06-28,Amazon Fire,Amazon Fire TV Sponsored Tiles - July,12500.0,26
2021-06-29,Amazon Fire,Amazon Fire TV Sponsored Tiles - July,12500.0,26
2021-06-29,Amazon Fire,Fire TV 25% SOV Featured Rotator,7542.86,26
2021-06-29,Amazon Fire,Fire TV 50% SOV In Line Banner,10535.71,26
2021-06-29,Amazon Fire,"Amazon Fire TV 7/24 Screensaver Slot 1, 2 and 3",4642.86,26
2021-06-29,Amazon Fire,Fire TV 100% SOV In Line Banner,21035.71,26
2021-06-29,Amazon Fire,Amazon Fire TV In Line (7/18) Weekend 50% Takeover,10535.71,26
2021-06-30,Amazon Fire,Fire TV 25% SOV Featured Rotator,7542.86,26
2021-06-30,Amazon Fire,"Amazon Fire TV 7/24 Screensaver Slot 1, 2 and 3",4642.86,26
2021-06-30,Amazon Fire,Fire TV 100% SOV In Line Banner,21035.71,26
2021-06-30,Amazon Fire,Amazon Fire TV In Line (7/18) Weekend 50% Takeover,10535.71,26
2021-06-30,Amazon Fire,Fire TV 50% SOV In Line Banner,10535.71,26
2021-06-30,Amazon Fire,Amazon Fire TV Sponsored Tiles - July,12500.0,26
2021-07-01,Amazon Fire,Amazon Fire TV In Line (7/18) Weekend 50% Takeover,10535.71,26
2021-07-01,Amazon Fire,Fire TV 100% SOV In Line Banner,21035.71,26
2021-07-01,Amazon Fire,Fire TV 25% SOV Featured Rotator,7542.86,26
2021-07-01,Amazon Fire,Fire TV 50% SOV In Line Banner,10535.71,26
2021-07-01,Amazon Fire,Amazon Fire TV Sponsored Tiles - July,12500.0,26
2021-07-01,Amazon Fire,"Amazon Fire TV 7/24 Screensaver Slot 1, 2 and 3",4642.86,26
2021-07-02,Amazon Fire,Amazon Fire TV Sponsored Tiles - July,12500.0,26
2021-07-02,Amazon Fire,Fire TV 100% SOV In Line Banner,21035.71,26
2021-07-02,Amazon Fire,Fire TV 50% SOV In Line Banner,10535.71,26
2021-07-02,Amazon Fire,Fire TV 25% SOV Featured Rotator,7542.86,26
2021-07-02,Amazon Fire,Amazon Fire TV In Line (7/18) Weekend 50% Takeover,10535.71,26
2021-07-02,Amazon Fire,"Amazon Fire TV 7/24 Screensaver Slot 1, 2 and 3",4642.86,26
