Date,Device,Vehicle,Spend,WeekOfYear
2021-01-04,LG,LG,982.35,1
2021-01-05,LG,LG,982.35,1
2021-01-06,LG,LG,982.35,1
2021-01-07,LG,LG,982.35,1
2021-01-08,LG,LG,982.35,1
2021-01-09,LG,LG,982.35,1
2021-01-10,LG,LG,982.35,1
2021-01-11,LG,LG,982.35,2
2021-01-12,LG,LG,982.35,2
2021-01-13,LG,LG,982.35,2
2021-01-14,LG,LG,982.35,2
2021-01-15,LG,LG,982.35,2
2021-01-16,LG,LG,982.35,2
2021-01-17,LG,LG,982.35,2
2021-01-18,LG,LG,982.35,3
2021-01-19,LG,LG,982.35,3
2021-01-20,LG,LG,982.35,3
2021-01-21,LG,LG,982.35,3
2021-01-22,LG,LG,982.35,3
2021-01-23,LG,LG,982.35,3
2021-01-24,LG,LG,982.35,3
2021-01-25,LG,LG,982.35,4
2021-01-26,LG,LG,982.35,4
2021-01-27,LG,LG,982.35,4
2021-01-28,LG,LG,982.35,4
2021-01-29,LG,LG,982.35,4
2021-01-30,LG,LG,982.35,4
2021-01-31,LG,LG,982.35,4
2021-02-01,LG,LG,1691.96,5
2021-02-02,LG,LG,1691.96,5
2021-02-03,LG,LG,1691.96,5
2021-02-04,LG,LG,1691.96,5
2021-02-05,LG,LG,1691.96,5
2021-02-06,LG,LG,1691.96,5
2021-02-07,LG,LG,1691.96,5
2021-02-08,LG,LG,1691.96,6
2021-02-09,LG,LG,1691.96,6
2021-02-10,LG,LG,1691.96,6
2021-02-11,LG,LG,1691.96,6
2021-02-12,LG,LG,1691.96,6
2021-02-13,LG,LG,1691.96,6
2021-02-14,LG,LG,1691.96,6
2021-02-15,LG,LG,1691.96,7
2021-02-16,LG,LG,1691.96,7
2021-02-17,LG,LG,1691.96,7
2021-02-18,LG,LG,1691.96,7
2021-02-19,LG,LG,1691.96,7
2021-02-20,LG,LG,1691.96,7
2021-02-21,LG,LG,1691.96,7
2021-02-22,LG,LG,1691.96,8
2021-02-23,LG,LG,1691.96,8
2021-02-24,LG,LG,1691.96,8
2021-02-25,LG,LG,1691.96,8
2021-02-26,LG,LG,1691.96,8
2021-02-27,LG,LG,1691.96,8
2021-02-28,LG,LG,1691.96,8
2021-03-01,LG,LG,1544.38,9
2021-03-01,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89,9
2021-03-02,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89,9
2021-03-02,LG,LG,1544.38,9
2021-03-03,LG,LG Home Launcher True Crime & Doc Devil in Disguise,138.89,9
