Date,Device,Vehicle,Spend,WeekOfYear
2021-01-04,Xbox,Xbox,4366.45,1
2021-01-05,Xbox,Xbox,4366.45,1
2021-01-06,Xbox,Xbox,4366.45,1
2021-01-07,Xbox,Xbox,4366.45,1
2021-01-08,Xbox,Xbox,4366.45,1
2021-01-09,Xbox,Xbox,4366.45,1
2021-01-10,Xbox,Xbox,4366.45,1
2021-01-11,Xbox,Xbox,4366.45,2
2021-01-12,Xbox,Xbox,4366.45,2
2021-01-13,Xbox,Xbox,4366.45,2
2021-01-14,Xbox,Xbox,4366.45,2
2021-01-15,Xbox,Xbox,4366.45,2
2021-01-16,Xbox,Xbox,4366.45,2
2021-01-17,Xbox,Xbox,4366.45,2
2021-01-18,Xbox,Xbox,4366.45,3
2021-01-19,Xbox,Xbox,4366.45,3
2021-01-20,Xbox,Xbox,4366.45,3
2021-01-21,Xbox,Xbox,4366.45,3
2021-01-22,Xbox,Xbox,4366.45,3
2021-01-23,Xbox,Xbox,4366.45,3
2021-01-24,Xbox,Xbox,4366.45,3
2021-01-25,Xbox,Xbox,4366.45,4
2021-01-26,Xbox,Xbox,4366.45,4
2021-01-27,Xbox,Xbox,4366.45,4
2021-01-28,Xbox,Xbox,4366.45,4
2021-01-29,Xbox,Xbox,4366.45,4
2021-01-30,Xbox,Xbox,4366.45,4
2021-01-31,Xbox,Xbox,4366.45,4
2021-02-01,Xbox,Xbox,4497.61,5
2021-02-02,Xbox,Xbox,4497.61,5
2021-02-03,Xbox,Xbox,4497.61,5
2021-02-04,Xbox,Xbox,4497.61,5
2021-02-05,Xbox,Xbox,4497.61,5
2021-02-06,Xbox,Xbox,4497.61,5
2021-02-07,Xbox,Xbox,4497.61,5
2021-02-08,Xbox,Xbox,4497.61,6
2021-02-09,Xbox,Xbox,4497.61,6
2021-02-10,Xbox,Xbox,4497.61,6
2021-02-11,Xbox,Xbox,4497.61,6
2021-02-12,Xbox,Xbox,4497.61,6
2021-02-13,Xbox,Xbox,4497.61,6
2021-02-14,Xbox,Xbox,4497.61,6
2021-02-15,Xbox,Xbox,4497.61,7
2021-02-16,Xbox,Xbox,4497.61,7
2021-02-17,Xbox,Xbox,4497.61,7
2021-02-18,Xbox,Xbox,4497.61,7
2021-02-19,Xbox,Xbox,4497.61,7
2021-02-20,Xbox,Xbox,4497.61,7
2021-02-21,Xbox,Xbox,4497.61,7
2021-02-22,Xbox,Xbox,4497.61,8
2021-02-23,Xbox,Xbox,4497.61,8
2021-02-24,Xbox,Xbox,4497.61,8
2021-02-25,Xbox,Xbox,4497.61,8
2021-02-26,Xbox,Xbox,4497.61,8
2021-02-27,Xbox,Xbox,4497.61,8
2021-02-28,Xbox,Xbox,4497.61,8
2021-03-01,Xbox,Xbox,5222.89,9
2021-03-01,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,9
2021-03-02,Xbox,Xbox,5222.89,9
2021-03-02,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,9
2021-03-03,Xbox,Xbox,5222.89,9
2021-03-03,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,9
2021-03-04,Xbox,Xbox,5222.89,9
2021-03-04,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,9
2021-03-05,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,9
2021-03-05,Xbox,Xbox,5222.89,9
2021-03-06,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,9
2021-03-06,Xbox,Xbox,5222.89,9
2021-03-07,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,9
2021-03-07,Xbox,Xbox,5222.89,9
2021-03-08,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,10
2021-03-08,Xbox,Xbox,5222.89,10
2021-03-09,Xbox,Xbox,5222.89,10
2021-03-09,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,10
2021-03-10,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,10
2021-03-10,Xbox,Xbox,5222.89,10
2021-03-11,Xbox,Xbox,5222.89,10
2021-03-11,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,10
2021-03-12,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,10
2021-03-12,Xbox,Xbox,5222.89,10
2021-03-13,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,10
2021-03-13,Xbox,Xbox,5222.89,10
2021-03-14,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,10
2021-03-14,Xbox,Xbox,5222.89,10
2021-03-15,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,11
2021-03-15,Xbox,Xbox,5222.89,11
2021-03-16,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,11
2021-03-16,Xbox,Xbox,5222.89,11
2021-03-17,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,11
2021-03-17,Xbox,Xbox,5222.89,11
2021-03-18,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,11
2021-03-18,Xbox,Xbox,5222.89,11
2021-03-19,Xbox,Xbox,5222.89,11
2021-03-19,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,11
2021-03-20,Xbox,Xbox,5222.89,11
2021-03-20,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,11
2021-03-21,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,11
2021-03-21,Xbox,Xbox,5222.89,11
2021-03-22,Xbox,Xbox,5222.89,12
2021-03-22,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,12
2021-03-23,Xbox,Xbox,5222.89,12
2021-03-23,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,12
2021-03-24,Xbox,Xbox,5222.89,12
2021-03-24,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,12
2021-03-25,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,12
2021-03-25,Xbox,Xbox,5222.89,12
2021-03-26,Xbox,Xbox,5222.89,12
2021-03-26,Xbox,Xbox Homescreen/Store Banner WWE App Owners,2241.96,12
