Date,Device,Vehicle,Spend,WeekOfYear
2021-01-04,Roku,Roku Roadblock,11062.86,1
2021-01-04,Roku,Roku,25773.86,1
2021-01-04,Roku,Roku Roadblock,4217.14,1
2021-01-04,Roku,Roku Mini Ad,11428.57,1
2021-01-05,Roku,Roku,25773.86,1
2021-01-05,Roku,Roku Roadblock,4217.14,1
2021-01-05,Roku,Roku Mini Ad,11428.57,1
2021-01-05,Roku,Roku Roadblock,11062.86,1
2021-01-06,Roku,Roku Mini Ad,11428.57,1
2021-01-06,Roku,Roku,25773.86,1
2021-01-06,Roku,Roku Roadblock,11062.86,1
2021-01-06,Roku,Roku Roadblock,4217.14,1
2021-01-07,Roku,Roku,25773.86,1
2021-01-07,Roku,Roku Mini Ad,11428.57,1
2021-01-07,Roku,Roku Roadblock,11062.86,1
2021-01-07,Roku,Roku Roadblock,4217.14,1
2021-01-08,Roku,Roku,25773.86,1
2021-01-08,Roku,Roku Roadblock,4217.14,1
2021-01-08,Roku,Roku Mini Ad,11428.57,1
2021-01-08,Roku,Roku Roadblock,11062.86,1
2021-01-09,Roku,Roku Roadblock,4217.14,1
2021-01-09,Roku,Roku Mini Ad,11428.57,1
2021-01-09,Roku,Roku Roadblock,11062.86,1
2021-01-09,Roku,Roku,25773.86,1
2021-01-10,Roku,Roku Mini Ad,11428.57,1
2021-01-10,Roku,Roku Roadblock,11062.86,1
2021-01-10,Roku,Roku,25773.86,1
2021-01-10,Roku,Roku Roadblock,4217.14,1
2021-01-11,Roku,Roku Mini Ad,11428.57,2
2021-01-11,Roku,Roku Roadblock,4217.14,2
2021-01-11,Roku,Roku Roadblock,11062.86,2
2021-01-11,Roku,Roku,25773.86,2
2021-01-12,Roku,Roku Mini Ad,11428.57,2
2021-01-12,Roku,Roku,25773.86,2
2021-01-12,Roku,Roku Roadblock,4217.14,2
2021-01-12,Roku,Roku Roadblock,11062.86,2
2021-01-13,Roku,Roku Roadblock,4217.14,2
2021-01-13,Roku,Roku Roadblock,11062.86,2
2021-01-13,Roku,Roku Mini Ad,11428.57,2
2021-01-13,Roku,Roku,25773.86,2
2021-01-14,Roku,Roku Roadblock,11062.86,2
2021-01-14,Roku,Roku Roadblock,4217.14,2
2021-01-14,Roku,Roku,25773.86,2
2021-01-14,Roku,Roku Mini Ad,11428.57,2
2021-01-15,Roku,Roku Roadblock,4217.14,2
2021-01-15,Roku,Roku,25773.86,2
2021-01-15,Roku,Roku Roadblock,11062.86,2
2021-01-15,Roku,Roku Mini Ad,11428.57,2
2021-01-16,Roku,Roku Roadblock,11062.86,2
2021-01-16,Roku,Roku Roadblock,4217.14,2
2021-01-16,Roku,Roku Mini Ad,11428.57,2
2021-01-16,Roku,Roku,25773.86,2
2021-01-17,Roku,Roku Mini Ad,11428.57,2
2021-01-17,Roku,Roku Roadblock,4217.14,2
2021-01-17,Roku,Roku Roadblock,11062.86,2
2021-01-17,Roku,Roku,25773.86,2
2021-01-18,Roku,Roku Roadblock,11062.86,3
2021-01-18,Roku,Roku,25773.86,3
2021-01-18,Roku,Roku Roadblock,4217.14,3
2021-01-18,Roku,Roku Mini Ad,11428.57,3
2021-01-19,Roku,Roku Roadblock,11062.86,3
2021-01-19,Roku,Roku,25773.86,3
2021-01-19,Roku,Roku Roadblock,4217.14,3
2021-01-19,Roku,Roku Mini Ad,11428.57,3
2021-01-20,Roku,Roku,25773.86,3
2021-01-20,Roku,Roku Mini Ad,11428.57,3
2021-01-20,Roku,Roku Roadblock,4217.14,3
2021-01-20,Roku,Roku Roadblock,11062.86,3
2021-01-21,Roku,Roku Roadblock,11062.86,3
2021-01-21,Roku,Roku,25773.86,3
2021-01-21,Roku,Roku Roadblock,4217.14,3
2021-01-21,Roku,Roku Mini Ad,11428.57,3
2021-01-22,Roku,Roku,25773.86,3
2021-01-22,Roku,Roku Roadblock,4217.14,3
2021-01-22,Roku,Roku Roadblock,11062.86,3
2021-01-22,Roku,Roku Mini Ad,11428.57,3
2021-01-23,Roku,Roku Mini Ad,11428.57,3
2021-01-23,Roku,Roku,25773.86,3
