Date,Device,Vehicle,Spend,WeekOfYear
2021-05-31,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,22
2021-05-31,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,22
2021-05-31,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,22
2021-05-31,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,22
2021-05-31,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,22
2021-06-01,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,22
2021-06-01,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,22
2021-06-01,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,22
2021-06-01,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,22
2021-06-01,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,22
2021-06-02,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,22
2021-06-02,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,22
2021-06-02,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,22
2021-06-02,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,22
2021-06-02,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,22
2021-06-03,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,22
2021-06-03,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,22
2021-06-03,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,22
2021-06-03,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,22
2021-06-03,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,22
2021-06-04,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,22
2021-06-04,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,22
2021-06-04,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,22
2021-06-04,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,22
2021-06-04,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,22
2021-06-05,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,22
2021-06-05,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,22
2021-06-05,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,22
2021-06-05,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,22
2021-06-05,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,22
2021-06-06,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,22
2021-06-06,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,22
2021-06-06,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,22
2021-06-06,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,22
2021-06-06,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,22
2021-06-07,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,23
2021-06-07,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,23
2021-06-07,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,23
2021-06-07,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,23
2021-06-07,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,23
2021-06-08,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,23
2021-06-08,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,23
2021-06-08,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,23
2021-06-08,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,23
2021-06-08,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,23
2021-06-09,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,23
2021-06-09,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,23
2021-06-09,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,23
2021-06-09,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,23
2021-06-09,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,23
2021-06-10,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,23
2021-06-10,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,23
2021-06-10,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,23
2021-06-10,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,23
2021-06-10,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,23
2021-06-11,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,23
2021-06-11,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,23
2021-06-11,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,23
2021-06-11,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,23
2021-06-11,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,23
2021-06-12,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,23
2021-06-12,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,23
2021-06-12,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,23
2021-06-12,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,23
2021-06-12,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,23
2021-06-13,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,23
2021-06-13,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,23
2021-06-13,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,23
2021-06-13,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,23
2021-06-13,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,23
2021-06-14,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,24
2021-06-14,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,24
2021-06-14,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,24
2021-06-14,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,24
2021-06-14,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,24
2021-06-15,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,24
2021-06-15,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,24
2021-06-15,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,24
2021-06-15,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,24
2021-06-15,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,24
2021-06-16,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,24
2021-06-16,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,24
2021-06-16,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,24
2021-06-16,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,24
2021-06-16,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,24
2021-06-17,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,24
2021-06-17,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,24
2021-06-17,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,24
2021-06-17,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,24
2021-06-17,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,24
2021-06-18,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,24
2021-06-18,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,24
2021-06-18,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,24
2021-06-18,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,24
2021-06-18,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,24
2021-06-19,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,24
2021-06-19,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,24
2021-06-19,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,24
2021-06-19,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,24
2021-06-19,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,24
2021-06-20,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,24
2021-06-20,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,24
2021-06-20,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,24
2021-06-20,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,24
2021-06-20,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,24
2021-06-21,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,25
2021-06-21,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,25
2021-06-21,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,25
2021-06-21,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,25
2021-06-21,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,25
2021-06-22,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,25
2021-06-22,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,25
2021-06-22,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,25
2021-06-22,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,25
2021-06-22,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,25
2021-06-23,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,25
2021-06-23,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,25
2021-06-23,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,25
2021-06-23,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,25
2021-06-23,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,25
2021-06-24,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,25
2021-06-24,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,25
2021-06-24,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,25
2021-06-24,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,25
2021-06-24,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,25
2021-06-25,Samsung,Samsung Native 1st Screen Rotational Click to Peacock,38116.49,25
2021-06-25,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0,25
2021-06-25,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,25
2021-06-25,Samsung,Samsung 6/11 (5PM-11PM)1st Screen Native RB 100% SOV,12806.36,25
2021-06-25,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,25
2021-06-26,Samsung,Samsung 1st Screen Rotational Targeted,3425.0,25
2021-06-26,Samsung,Samsung 6/18 (6PM-12AM)1st Screen Native RB 100% SOV,10170.0,25
