Date,Device,Vehicle,Spend,WeekOfYear
2021-02-01,Playstation,Playstation,869.47,5
2021-02-02,Playstation,Playstation,869.47,5
2021-02-03,Playstation,Playstation,869.47,5
2021-02-04,Playstation,Playstation,869.47,5
2021-02-05,Playstation,Playstation,869.47,5
2021-02-06,Playstation,Playstation,869.47,5
2021-02-07,Playstation,Playstation,869.47,5
2021-02-08,Playstation,Playstation,869.47,6
2021-02-09,Playstation,Playstation,869.47,6
2021-02-10,Playstation,Playstation,869.47,6
2021-02-11,Playstation,Playstation,869.47,6
2021-02-12,Playstation,Playstation,869.47,6
2021-02-13,Playstation,Playstation,869.47,6
2021-02-14,Playstation,Playstation,869.47,6
2021-02-15,Playstation,Playstation,869.47,7
2021-02-16,Playstation,Playstation,869.47,7
2021-02-17,Playstation,Playstation,869.47,7
2021-02-18,Playstation,Playstation,869.47,7
2021-02-19,Playstation,Playstation,869.47,7
2021-02-20,Playstation,Playstation,869.47,7
2021-02-21,Playstation,Playstation,869.47,7
2021-02-22,Playstation,Playstation,869.47,8
2021-02-23,Playstation,Playstation,869.47,8
2021-02-24,Playstation,Playstation,869.47,8
2021-02-25,Playstation,Playstation,869.47,8
2021-02-26,Playstation,Playstation,869.47,8
2021-02-27,Playstation,Playstation,869.47,8
2021-02-28,Playstation,Playstation,869.47,8
2021-03-01,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,9
2021-03-01,Playstation,Playstation,1999.75,9
2021-03-02,Playstation,Playstation,1999.75,9
2021-03-02,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,9
2021-03-03,Playstation,Playstation,1999.75,9
2021-03-03,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,9
2021-03-04,Playstation,Playstation,1999.75,9
2021-03-04,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,9
2021-03-05,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,9
2021-03-05,Playstation,Playstation,1999.75,9
2021-03-06,Playstation,Playstation,1999.75,9
2021-03-06,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,9
2021-03-07,Playstation,Playstation,1999.75,9
2021-03-07,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,9
2021-03-08,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,10
2021-03-08,Playstation,Playstation,1999.75,10
2021-03-09,Playstation,Playstation,1999.75,10
2021-03-09,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,10
2021-03-10,Playstation,Playstation,1999.75,10
2021-03-10,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,10
2021-03-11,Playstation,Playstation,1999.75,10
2021-03-11,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,10
2021-03-12,Playstation,Playstation,1999.75,10
2021-03-12,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,10
2021-03-13,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,10
2021-03-13,Playstation,Playstation,1999.75,10
2021-03-14,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,10
2021-03-14,Playstation,Playstation,1999.75,10
2021-03-15,Playstation,Playstation,1999.75,11
2021-03-15,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,11
2021-03-16,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,11
2021-03-16,Playstation,Playstation,1999.75,11
2021-03-17,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,11
2021-03-17,Playstation,Playstation,1999.75,11
2021-03-18,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,11
2021-03-18,Playstation,Playstation,1999.75,11
2021-03-19,Playstation,Playstation,1999.75,11
2021-03-19,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,11
2021-03-20,Playstation,Playstation,1999.75,11
2021-03-20,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,11
2021-03-21,Playstation,Playstation,1999.75,11
2021-03-21,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,11
2021-03-22,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,12
2021-03-22,Playstation,Playstation,1999.75,12
2021-03-23,Playstation,Playstation,1999.75,12
2021-03-23,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,12
2021-03-24,Playstation,Playstation,1999.75,12
2021-03-24,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,12
2021-03-25,Playstation,Playstation,1999.75,12
2021-03-25,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,12
2021-03-26,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,12
2021-03-26,Playstation,Playstation,1999.75,12
2021-03-27,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,12
2021-03-27,Playstation,Playstation,1999.75,12
2021-03-28,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),626.97,12
2021-03-28,Playstation,Playstation,1999.75,12
2021-03-29,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,13
2021-03-29,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,13
2021-03-29,Playstation,Playstation Showcase (Apps_ Explore),36.77,13
2021-03-29,Playstation,Playstation Showcase (Movies & TV Explore),16.56,13
2021-03-29,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,13
2021-03-29,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,13
2021-03-29,Playstation,Playstation Grid Hero WWE Network,289.14,13
2021-03-29,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,13
2021-03-29,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,13
2021-03-30,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,13
2021-03-30,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,13
2021-03-30,Playstation,Playstation Grid Hero WWE Network,289.14,13
2021-03-30,Playstation,Playstation Showcase (Apps_ Explore),36.77,13
2021-03-30,Playstation,Playstation Showcase (Movies & TV Explore),16.56,13
2021-03-30,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,13
2021-03-30,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,13
2021-03-30,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,13
2021-03-30,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,13
2021-03-31,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,13
2021-03-31,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,13
2021-03-31,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,13
2021-03-31,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,13
2021-03-31,Playstation,Playstation Showcase (Apps_ Explore),36.77,13
2021-03-31,Playstation,Playstation Showcase (Movies & TV Explore),16.56,13
2021-03-31,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,13
2021-03-31,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,13
2021-03-31,Playstation,Playstation Grid Hero WWE Network,289.14,13
2021-04-01,Playstation,Playstation Showcase (Movies & TV Explore),16.56,13
2021-04-01,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,13
2021-04-01,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,13
2021-04-01,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,13
2021-04-01,Playstation,Playstation Grid Hero WWE Network,289.14,13
2021-04-01,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,13
2021-04-01,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,13
2021-04-01,Playstation,Playstation Showcase (Apps_ Explore),36.77,13
2021-04-01,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,13
2021-04-02,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,13
2021-04-02,Playstation,Playstation Grid Hero WWE Network,289.14,13
2021-04-02,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,13
2021-04-02,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,13
2021-04-02,Playstation,Playstation Showcase (Apps_ Explore),36.77,13
2021-04-02,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,13
2021-04-02,Playstation,Playstation Showcase (Movies & TV Explore),16.56,13
2021-04-02,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,13
2021-04-02,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,13
2021-04-03,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,13
2021-04-03,Playstation,Playstation Showcase (Apps_ Explore),36.77,13
2021-04-03,Playstation,Playstation Grid Hero WWE Network,289.14,13
2021-04-03,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,13
2021-04-03,Playstation,Playstation Showcase (Movies & TV Explore),16.56,13
2021-04-03,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,13
2021-04-03,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,13
2021-04-03,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,13
2021-04-03,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,13
2021-04-04,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,13
2021-04-04,Playstation,Playstation Grid Hero WWE Network,289.14,13
2021-04-04,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,13
2021-04-04,Playstation,Playstation Showcase (Apps_ Explore),36.77,13
2021-04-04,Playstation,Playstation Showcase (Movies & TV Explore),16.56,13
2021-04-04,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,13
2021-04-04,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,13
2021-04-04,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,13
2021-04-04,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,13
2021-04-05,Playstation,Playstation Showcase (Movies & TV Explore),16.56,14
2021-04-05,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,14
2021-04-05,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,14
2021-04-05,Playstation,Playstation Showcase (Apps_ Explore),36.77,14
2021-04-05,Playstation,Playstation Grid Hero WWE Network,289.14,14
2021-04-05,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,14
2021-04-05,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,14
2021-04-05,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,14
2021-04-05,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,14
2021-04-06,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,14
2021-04-06,Playstation,Playstation Showcase (Movies & TV Explore),16.56,14
2021-04-06,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,14
2021-04-06,Playstation,Playstation Showcase (Apps_ Explore),36.77,14
2021-04-06,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,14
2021-04-06,Playstation,Playstation Grid Hero WWE Network,289.14,14
2021-04-06,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,14
2021-04-06,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,14
2021-04-06,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,14
2021-04-07,Playstation,Playstation Showcase (Apps_ Explore),36.77,14
2021-04-07,Playstation,"Playstation Main Line Title Network (Streaming Video Affinity, Excluding app owners)",199.03,14
2021-04-07,Playstation,"Playstation Grid Hero Network (Streaming Video Affinity, Excluding app owners)",173.69,14
2021-04-07,Playstation,Playstation Showcase (Movies & TV Explore),16.56,14
2021-04-07,Playstation,Playstation Main Line Title WWE ( Apps_ Explore),869.61,14
2021-04-07,Playstation,"Playstation What's New Feed Network (Streaming Video Affinity, Excluding app owners)",151.84,14
2021-04-07,Playstation,"Playstation Showcase Network (Streaming Video Affinity, Excluding app owners)",191.5,14
2021-04-07,Playstation,Playstation Main Line Title ( Apps_ Explore),56.8,14
2021-04-07,Playstation,Playstation Grid Hero WWE Network,289.14,14
