Date,Device,Vehicle,Spend,WeekOfYear
2021-01-04,Vizio,Vizio,2952.38,1
2021-01-05,Vizio,Vizio,2952.38,1
2021-01-06,Vizio,Vizio,2952.38,1
2021-01-07,Vizio,Vizio,2952.38,1
2021-01-08,Vizio,Vizio,2952.38,1
2021-01-09,Vizio,Vizio,2952.38,1
2021-01-10,Vizio,Vizio,2952.38,1
2021-01-11,Vizio,Vizio,2952.38,2
2021-01-12,Vizio,Vizio,2952.38,2
2021-01-13,Vizio,Vizio,2952.38,2
2021-01-14,Vizio,Vizio,2952.38,2
2021-01-15,Vizio,Vizio,2952.38,2
2021-01-16,Vizio,Vizio,2952.38,2
2021-01-17,Vizio,Vizio,2952.38,2
2021-01-18,Vizio,Vizio,2952.38,3
2021-01-19,Vizio,Vizio,2952.38,3
2021-01-20,Vizio,Vizio,2952.38,3
2021-01-21,Vizio,Vizio,2952.38,3
2021-01-22,Vizio,Vizio,2952.38,3
2021-01-23,Vizio,Vizio,2952.38,3
2021-01-24,Vizio,Vizio,2952.38,3
2021-01-25,Vizio,Vizio,2952.38,4
2021-01-26,Vizio,Vizio,2952.38,4
2021-01-27,Vizio,Vizio,2952.38,4
2021-01-28,Vizio,Vizio,2952.38,4
2021-01-29,Vizio,Vizio,2952.38,4
2021-01-30,Vizio,Vizio,2952.38,4
2021-01-31,Vizio,Vizio,2952.38,4
2021-02-01,Vizio,Vizio Modern Family Hero TO,5357.14,5
2021-02-01,Vizio,Vizio,3333.33,5
2021-02-02,Vizio,Vizio Modern Family Hero TO,5357.14,5
2021-02-02,Vizio,Vizio,3333.33,5
2021-02-03,Vizio,Vizio Modern Family Hero TO,5357.14,5
2021-02-03,Vizio,Vizio,3333.33,5
2021-02-04,Vizio,Vizio Modern Family Hero TO,5357.14,5
2021-02-04,Vizio,Vizio,3333.33,5
2021-02-05,Vizio,Vizio Modern Family Hero TO,5357.14,5
2021-02-05,Vizio,Vizio,3333.33,5
