Advertiser,Advertiser ID,Advertiser Currency,Insertion Order,Insertion Order ID,Line Item,Line Item ID,Date,Impressions,Billable Impressions,Clicks,Click Rate (CTR),Total Conversions,Post-Click Conversions,Post-View Conversions,Revenue (Adv Currency),Total Media Cost (Advertiser Currency)
NBCU Peacock,6004134,USD,NBCU | Peacock | Dr. Death | Android/Google TV Featured Carousel | PG 2021-06-10T16:26:25.189393Z,20868545,NBCU | Peacock | Dr.Death | 7/15/21 - 7/25/21,52189098,7/15/21,185171,185171,0,0.00%,2,0,2,2599.80084,2599.80084
NBCU Peacock,6004134,USD,NBCU | Peacock | Dr. Death | Android/Google TV Featured Carousel | PG 2021-06-10T16:26:25.189393Z,20868545,NBCU | Peacock | Dr.Death | 7/15/21 - 7/25/21,52189098,7/16/21,252814,252814,0,0.00%,10,0,10,3549.50856,3549.50856
NBCU Peacock,6004134,USD,NBCU | Peacock | Dr. Death | Android/Google TV Featured Carousel | PG 2021-06-10T16:26:25.189393Z,20868545,NBCU | Peacock | Dr.Death | 7/15/21 - 7/25/21,52189098,7/17/21,239834,239834,0,0.00%,3,0,3,3367.26936,3367.26936
NBCU Peacock,6004134,USD,NBCU | Peacock | Dr. Death | Android/Google TV Featured Carousel | PG 2021-06-10T16:26:25.189393Z,20868545,NBCU | Peacock | Dr.Death | 7/15/21 - 7/25/21,52189098,7/18/21,235653,235653,0,0.00%,3,0,3,3308.56812,3308.56812
NBCU Peacock,6004134,USD,NBCU | Peacock | Dr. Death | Android/Google TV Featured Carousel | PG 2021-06-10T16:26:25.189393Z,20868545,NBCU | Peacock | Dr.Death | 7/15/21 - 7/25/21,52189098,7/19/21,234338,234338,0,0.00%,8,0,8,3290.10552,3290.10552
NBCU Peacock,6004134,USD,NBCU | Peacock | Dr. Death | Android/Google TV Featured Carousel | PG 2021-06-10T16:26:25.189393Z,20868545,NBCU | Peacock | Dr.Death | 7/15/21 - 7/25/21,52189098,7/20/21,233337,233337,0,0.00%,5,0,5,3276.05148,3276.05148
NBCU Peacock,6004134,USD,NBCU | Peacock | Dr. Death | Android/Google TV Featured Carousel | PG 2021-06-10T16:26:25.189393Z,20868545,NBCU | Peacock | Dr.Death | 7/15/21 - 7/25/21,52189098,7/21/21,230832,230832,0,0.00%,3,0,3,3240.88128,3240.88128
NBCU Peacock,6004134,USD,NBCU | Peacock | Dr. Death | Android/Google TV Featured Carousel | PG 2021-06-10T16:26:25.189393Z,20868545,NBCU | Peacock | Dr.Death | 7/15/21 - 7/25/21,52189098,7/22/21,229247,229247,0,0.00%,6,0,6,3218.62788,3218.62788
NBCU Peacock,6004134,USD,NBCU | Peacock | Dr. Death | Android/Google TV Featured Carousel | PG 2021-06-10T16:26:25.189393Z,20868545,NBCU | Peacock | Dr.Death | 7/15/21 - 7/25/21,52189098,7/23/21,221978,221978,0,0.00%,7,0,7,3116.57112,3116.57112
NBCU Peacock,6004134,USD,NBCU | Peacock | Dr. Death | Android/Google TV Featured Carousel | PG 2021-06-10T16:26:25.189393Z,20868545,NBCU | Peacock | Dr.Death | 7/15/21 - 7/25/21,52189098,7/24/21,219312,219312,0,0.00%,13,0,13,3079.14048,3079.14048
NBCU Peacock,6004134,USD,NBCU | Peacock | Dr. Death | Android/Google TV Featured Carousel | PG 2021-06-10T16:26:25.189393Z,20868545,NBCU | Peacock | Dr.Death | 7/15/21 - 7/25/21,52189098,7/25/21,193520,193520,0,0.00%,11,0,11,2717.0208,2717.0208
